投票区番号,住所,施設名
1,東京都国立市富士見台2-47-1 市役所1階市民ロビー,市役所1階市民ロビー
2,東京都国立市中1-15-1 公民館地下ホール,公民館地下ホール
3,東京都国立市谷保6026 第一小学校体育館,第一小学校体育館
4,東京都国立市北1-14-1 くにたち駅前市民プラザ,くにたち駅前市民プラザ
5,東京都国立市北3-1-1 くにたち北市民プラザ多目的ホール,くにたち北市民プラザ多目的ホール
6,東京都国立市西2-13 第二小学校体育館,第二小学校体育館
7,東京都国立市東4-24-1 第三小学校,第三小学校体育館
8,東京都国立市谷保1348-1 第三中学校体育館,第三中学校体育館
9,東京都国立市富士見台1-7 富士見台第一団地集会所,富士見台第一団地集会所
10,東京都国立市富士見台3-30 第二中学校体育館,第二中学校体育館
11,東京都国立市谷保6600 第六小学校体育館,第六小学校体育館
12,東京都国立市富士見台1-47-7 第七小学校体育館,第七小学校体育館
