投票区番号,住所,施設名
1,東京都西多摩郡瑞穂町大字殿ケ谷988番地 殿ケ谷会館,殿ケ谷会館
2,東京都西多摩郡瑞穂町大字石畑211番地 石畑会館,石畑会館
3,東京都西多摩郡瑞穂町大字武蔵3番地 箱根ケ崎南会館,箱根ケ崎南会館
4,東京都西多摩郡瑞穂町長岡4丁目6番地4 長岡南会館,長岡南会館
5,東京都西多摩郡瑞穂町大字二本木673番地1 元狭山コミュニティセンター,元狭山コミュニティセンター
6,東京都西多摩郡瑞穂町むさし野1丁目5番地 武蔵野コミュニティセンター,武蔵野コミュニティセンター
7,東京都西多摩郡瑞穂町大字箱根ケ崎519番地 瑞穂武道館,瑞穂武道館
8,東京都西多摩郡瑞穂町箱根ケ崎西松原2番地1 瑞穂第四小学校体育館,瑞穂第四小学校体育館
9,東京都西多摩郡瑞穂町大字高根94番地8 高根町会館,高根町会館
