住所,施設名
東京都世田谷区船橋4-3-2,船橋まちづくりセンター１階活動フロアー１
東京都世田谷区喜多見5-11-10,喜多見複合施設１階活動フロアー
東京都世田谷区砧5-8-18,砧まちづくりセンター１階活動フロアー
東京都世田谷区上北沢4-32-9,上北沢まちづくりセンター
東京都世田谷区上祖師谷2-7-6,上祖師谷まちづくりセンター
東京都世田谷区南烏山6-2-19,烏山区民センター３階第４会議室
東京都渋谷区宇田川町1-1,渋谷区役所
東京都渋谷区上原1-18-6,地域交流センター上原
東京都渋谷区幡ヶ谷2-50-2,幡ヶ谷社会教育館
東京都渋谷区千駄ヶ谷1-6-5,千駄ヶ谷社会教育館
東京都渋谷区東1-26-23,リフレッシュ氷川
東京都中野区中野4-11-19,中野区役所
東京都中野区弥生町5-11-26,南部すこやか福祉センター
東京都中野区中央2-18-21,東部区民活動センター
東京都中野区江原町2-3-15,江古田区民活動センター
東京都中野区野方5-3-1,野方区民活動センター
東京都中野区鷺宮3-22-5,鷺宮区民活動センター
東京都杉並区阿佐谷南1-15-1,杉並区役所第４会議室
東京都杉並区阿佐谷北1-1-1,阿佐谷地域区民センター第４・第５集会室
東京都杉並区下井草5-7-22,井草地域区民センター第１・第２集会室
東京都杉並区和泉3-8-18,永福和泉地域区民センター第２・第３集会室
東京都杉並区荻窪2-34-20,荻窪地域区民センター第１・第２集会室
東京都杉並区和田2-31-21,和田区民集会所第２・第３集会室
東京都杉並区高井戸東3-7-5,高井戸地域区民センター第１・第２集会室
東京都杉並区桃井4-3-2,西荻地域区民センター第３・第４集会室
東京都杉並区西荻北1-9-5,西荻南区民集会所第１レクリエーション室
東京都杉並区天沼3-19-16,旧天沼区民集会所共用会議室
東京都杉並区方南1-27-8,コミュニティふらっと方南第１・第２集会室
東京都杉並区久我山3-23-20,久我山会館ホール
東京都杉並区浜田山1-36-3,浜田山会館第１・第２集会室
東京都杉並区高円寺北3-25-9,高円寺北区民集会所第１・第２集会室
東京都杉並区梅里1-22-32,高円寺地域区民センター第９・第10集会室
東京都豊島区南池袋2-45-1,豊島区役所
東京都豊島区西巣鴨4-9-1,旧朝日中学校
東京都豊島区千早2-39-16,西部区民事務所
東京都豊島区西池袋1-1-25,東武百貨店池袋本店
東京都豊島区南池袋1-28-1,西武池袋本店
東京都北区王子本町1-11-9,北区役所別館２階研修室
