WKT,名前,説明,列４,住所
"POINT (139.0 35.0)", "荏原第三地域センター", "説明", "品川区", "東京都品川区平塚1-13-18"
"POINT (139.0 35.0)", "荏原第四地域センター", "説明", "品川区", "東京都品川区中延5-3-12"
"POINT (139.0 35.0)", "荏原第五地域センター", "説明", "品川区", "東京都品川区二葉1-1-2"
"POINT (139.0 35.0)", "八潮地域センター", "説明", "品川区", "東京都品川区八潮5-10-27"
"POINT (139.0 35.0)", "目黒区総合庁舎　1階　E会議室", "説明", "目黒区", "東京都目黒区上目黒2-19-15"
"POINT (139.0 35.0)", "中目黒ＧＴプラザホール", "説明", "目黒区", "東京都目黒区上目黒2-1-3 地下1階"
"POINT (139.0 35.0)", "北部地区サービス事務所", "説明", "目黒区", "東京都目黒区大橋1-5-1 クロスエアタワー9階"
"POINT (139.0 35.0)", "田道ふれあい館", "説明", "目黒区", "東京都目黒区目黒1-25-26"
"POINT (139.0 35.0)", "防災センター", "説明", "目黒区", "東京都目黒区中央町1-9-7"
"POINT (139.0 35.0)", "碑住区センター", "説明", "目黒区", "東京都目黒区碑文谷2-16-6"
"POINT (139.0 35.0)", "八雲住区センター", "説明", "目黒区", "東京都目黒区八雲1-10-5"
"POINT (139.0 35.0)", "大田区役所本庁舎", "説明", "大田区", "東京都大田区蒲田5-13-14"
"POINT (139.0 35.0)", "大森東特別出張所", "説明", "大田区", "東京都大田区大森南4-9-1"
"POINT (139.0 35.0)", "大森西特別出張所", "説明", "大田区", "東京都大田区大森西2-16-2"
"POINT (139.0 35.0)", "入新井特別出張所", "説明", "大田区", "東京都大田区大森北1-10-14"
"POINT (139.0 35.0)", "馬込特別出張所", "説明", "大田区", "東京都大田区中馬込3-25-5"
"POINT (139.0 35.0)", "池上特別出張所", "説明", "大田区", "東京都大田区池上1-29-6"
"POINT (139.0 35.0)", "新井宿特別出張所", "説明", "大田区", "東京都大田区中央1-21-6"
"POINT (139.0 35.0)", "嶺町特別出張所", "説明", "大田区", "東京都大田区田園調布本町7-1"
"POINT (139.0 35.0)", "田園調布特別出張所", "説明", "大田区", "東京都大田区田園調布1-30-1"
"POINT (139.0 35.0)", "鵜の木特別出張所", "説明", "大田区", "東京都大田区南久が原2-30-5"
"POINT (139.0 35.0)", "久が原特別出張所", "説明", "大田区", "東京都大田区久が原4-12-10"
"POINT (139.0 35.0)", "雪谷特別出張所", "説明", "大田区", "東京都大田区東雪谷3-6-2"
"POINT (139.0 35.0)", "千束特別出張所", "説明", "大田区", "東京都大田区北千束2-35-8"
"POINT (139.0 35.0)", "糀谷特別出張所", "説明", "大田区", "東京都大田区西糀谷2-14-13"
"POINT (139.0 35.0)", "羽田特別出張所", "説明", "大田区", "東京都大田区羽田1-18-13"
"POINT (139.0 35.0)", "六郷特別出張所", "説明", "大田区", "東京都大田区仲六郷2-44-11"
"POINT (139.0 35.0)", "矢口特別出張所", "説明", "大田区", "東京都大田区矢口2-21-14"
"POINT (139.0 35.0)", "蒲田西特別出張所", "説明", "大田区", "東京都大田区西蒲田7-12-2"
"POINT (139.0 35.0)", "蒲田東特別出張所", "説明", "大田区", "東京都大田区蒲田本町2-1-1"
"POINT (139.0 35.0)", "世田谷区役所第２庁舎４階大会議室", "説明", "世田谷区", "東京都世田谷区世田谷4-22-35"
"POINT (139.0 35.0)", "池尻まちづくりセンター２階活動フロアー", "説明", "世田谷区", "東京都世田谷区池尻3-27-21"
"POINT (139.0 35.0)", "太子堂複合施設３階三軒茶屋区民集会所第１会議室", "説明", "世田谷区", "東京都世田谷区太子堂2-17-1"
"POINT (139.0 35.0)", "若林複合施設３階活動フロアー", "説明", "世田谷区", "東京都世田谷区若林1-34-2"
"POINT (139.0 35.0)", "上町まちづくりセンター３階活動フロアーＡ・Ｂ", "説明", "世田谷区", "東京都世田谷区世田谷1-23-5"
"POINT (139.0 35.0)", "経堂出張所１階活動フロアー", "説明", "世田谷区", "東京都世田谷区宮坂1-44-29"
"POINT (139.0 35.0)", "下馬複合施設２階活動フロアー", "説明", "世田谷区", "東京都世田谷区下馬4-13-4"
"POINT (139.0 35.0)", "上馬複合施設２階活動フロアー", "説明", "世田谷区", "東京都世田谷区上馬4-10-17"
"POINT (139.0 35.0)", "梅丘複合施設地下１階活動フロアー", "説明", "世田谷区", "東京都世田谷区梅丘1-61-16"
"POINT (139.0 35.0)", "代沢小学校地下１階活動フロアー", "説明", "世田谷区", "東京都世田谷区代沢5-1-15"
"POINT (139.0 35.0)", "新代田まちづくりセンター２階活動フロアー", "説明", "世田谷区", "東京都世田谷区羽根木1-6-14"
"POINT (139.0 35.0)", "北沢タウンホール４階活動フロアー", "説明", "世田谷区", "東京都世田谷区北沢2-8-18"
"POINT (139.0 35.0)", "松原小学校１階活動フロアー", "説明", "世田谷区", "東京都世田谷区松原5-43-28"
